TF,Bias,Stato,Ritraccio %,Segnale
M,N/A,N/A,0.0,⚪
W,Buy,Impulso attivo,9.508636130742424,⚪
D,Buy,Impulso attivo,49.005401276665395,⚪
60,Sell,Sta ritracciando,90.23305844388669,🟢
15,Buy,Impulso attivo,36.20764657547489,⚪
